practice_code	list_size	postcode	grid_ref	easting	northing	latitude	longitude
55431	5775	IV19 1EU	NH 77535 81856	277535	881856	57.809492	-4.0627104
55446	468	IV22 2EZ	NG 89880 56185	189880	856185	57.546808	-5.5130203
55451	2581	IV26 2XL	NH 12993 94651	212993	894651	57.901944	-5.1574107
55521	644	IV47 8ST	NG 38693 31189	138693	831189	57.296273	-6.3392573
55535	1824	IV55 8GU	NG 25990 46810	125990	846810	57.428707	-6.5667595
55554	254	IV40 8JD	NG 81529 19458	181529	819458	57.21361	-5.6196329
55569	2759	IV40 8AE	NG 76159 27246	176159	827246	57.28083	-5.7153802
55573	5464	IV51 9BZ	NG 48325 43434	148325	843434	57.411381	-6.192373
55605	3757	PH33 7AQ	NN 12295 76215	212295	776215	56.839359	-5.0787814
55610	5584	PH33 7AQ	NN 12295 76215	212295	776215	56.839359	-5.0787814
55624	5151	PH33 7AQ	NN 12295 76215	212295	776215	56.839359	-5.0787814
55639	922	PH50 4QU	NN 18702 62227	218702	762227	56.71641	-4.9639917
55643	346	PA80 5XT	NM 67738 44912	167738	744912	56.538635	-5.7793314
55662	1389	PH36 4JU	NM 67567 68274	167567	768274	56.747969	-5.803153
55677	199	PH42 4RL	NM 47855 86594	147855	786594	56.90188	-6.1427488
55696	3302	IV4 7EA	NH 52678 46271	252678	846271	57.482664	-4.4589334
55709	6175	IV4 7DJ	NH 52488 46481	252488	846481	57.484487	-4.4622261
55728	2386	IV63 6UL	NH 51084 29119	251084	829119	57.328218	-4.4750838
55732	1544	PH32 4DR	NH 37535 08704	237535	808704	57.140409	-4.6864928
55747	1004	IV2 6YB	NH 49611 20904	249611	820904	57.254011	-4.4945266
55751	6093	IV2 7LL	NH 71668 46157	271668	846157	57.487416	-4.1423981
55766	6871	IV2 7LL	NH 71668 46157	271668	846157	57.487416	-4.1423981
55817	9605	IV2 3BG	NH 67102 44849	267102	844849	57.47436	-4.217789
55836	6509	IV3 8HH	NH 65948 45713	265948	845713	57.481775	-4.2374901
55841	10246	IV3 5PW	NH 66270 44413	266270	844413	57.470202	-4.2314123
55860	3809	IV3 8PB	NH 64819 44816	264819	844816	57.473389	-4.2558074
55874	4774	IV2 4XA	NH 66986 44553	266986	844553	57.471669	-4.2195605
55889	6903	IV2 3PF	NH 67999 43735	267999	843735	57.464623	-4.2022419
